                                                 0                            1                                                                                                                            2         3                                                                           4
0                                   Bloco tematico                        Norma                                                                                                                       Objeto  Natureza                                                            Endereco oficial
1          1 Codificações e diplomas estruturantes    Decreto-Lei nº 1.001/1969                                                                                                         Código Penal Militar         M      https://www.planalto.gov.br/ccivil_03/decreto-lei/del1001compilado.htm
2          1 Codificações e diplomas estruturantes    Decreto-Lei nº 1.002/1969                                                                                             Código de Processo Penal Militar         P      https://www.planalto.gov.br/ccivil_03/decreto-lei/del1002compilado.htm
3          1 Codificações e diplomas estruturantes    Decreto-Lei nº 2.848/1940                                                                                                                 Código Penal         M      https://www.planalto.gov.br/ccivil_03/decreto-lei/del2848compilado.htm
4          1 Codificações e diplomas estruturantes    Decreto-Lei nº 3.688/1941                                                                                                 Lei das Contravenções Penais         M               https://www.planalto.gov.br/ccivil_03/decreto-lei/del3688.htm
5          1 Codificações e diplomas estruturantes    Decreto-Lei nº 3.689/1941                                                                                                     Código de Processo Penal         P      https://www.planalto.gov.br/ccivil_03/decreto-lei/del3689compilado.htm
6          1 Codificações e diplomas estruturantes    Decreto-Lei nº 3.914/1941                Lei de Introdução ao Código Penal e à Lei das Contravenções Penais; conceito legal de crime e de contravenção         M               https://www.planalto.gov.br/ccivil_03/decreto-lei/del3914.htm
7          1 Codificações e diplomas estruturantes    Decreto-Lei nº 3.931/1941                                              Lei de Introdução ao Código de Processo Penal; direito intertemporal processual         P               https://www.planalto.gov.br/ccivil_03/decreto-lei/del3931.htm
8          1 Codificações e diplomas estruturantes            Lei nº 7.210/1984                                                                                                        Lei de Execução Penal        MP                        https://www.planalto.gov.br/ccivil_03/leis/l7210.htm
9            2 Núcleo da legislação penal especial           Lei nº 10.826/2003                                                  Estatuto do Desarmamento; posse, porte, comércio e tráfico de armas de fogo        MP                 https://www.planalto.gov.br/ccivil_03/leis/2003/l10.826.htm
10           2 Núcleo da legislação penal especial           Lei nº 11.340/2006                                                           Lei Maria da Penha; violência doméstica e familiar contra a mulher        MP     https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11340.htm
11           2 Núcleo da legislação penal especial           Lei nº 11.343/2006                                                   Sistema Nacional de Políticas Públicas sobre Drogas; crimes e procedimento        MP     https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11343.htm
12           2 Núcleo da legislação penal especial           Lei nº 12.850/2013                                                    Organizações criminosas; meios de obtenção de prova; colaboração premiada        MP     https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12850.htm
13           2 Núcleo da legislação penal especial           Lei nº 13.260/2016                                                                        Terrorismo; disposições investigatórias e processuais        MP     https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13260.htm
14           2 Núcleo da legislação penal especial           Lei nº 13.869/2019                                                                                                Crimes de abuso de autoridade        MP     https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/L13869.htm
15           2 Núcleo da legislação penal especial           Lei nº 15.358/2026                             Marco Legal do Combate ao Crime Organizado; domínio social estruturado; ação civil de perdimento        MP     https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/lei/l15358.htm
16           2 Núcleo da legislação penal especial            Lei nº 2.889/1956                                                                                                           Crime de genocídio         M                        https://www.planalto.gov.br/ccivil_03/leis/l2889.htm
17           2 Núcleo da legislação penal especial            Lei nº 7.716/1989  Crimes de preconceito de raça, cor, etnia, religião ou procedência nacional; injúria racial equiparada (Lei nº 14.532/2023)         M                        https://www.planalto.gov.br/ccivil_03/leis/l7716.htm
18           2 Núcleo da legislação penal especial            Lei nº 8.069/1990                                                               Estatuto da Criança e do Adolescente; crimes e ato infracional        MP               https://www.planalto.gov.br/ccivil_03/leis/l8069compilado.htm
19           2 Núcleo da legislação penal especial            Lei nº 8.072/1990                                                                                                             Crimes hediondos        MP               https://www.planalto.gov.br/ccivil_03/leis/l8072compilada.htm
20           2 Núcleo da legislação penal especial            Lei nº 9.455/1997                                                                                                            Crimes de tortura        MP                        https://www.planalto.gov.br/ccivil_03/leis/l9455.htm
21           2 Núcleo da legislação penal especial            Lei nº 9.503/1997                                                                            Código de Trânsito Brasileiro; crimes de trânsito        MP               https://www.planalto.gov.br/ccivil_03/leis/l9503compilado.htm
22           2 Núcleo da legislação penal especial            Lei nº 9.605/1998                                                                                                            Crimes ambientais        MP                        https://www.planalto.gov.br/ccivil_03/leis/l9605.htm
23           2 Núcleo da legislação penal especial            Lei nº 9.613/1998                                                                       Lavagem ou ocultação de bens, direitos e valores; Coaf        MP               https://www.planalto.gov.br/ccivil_03/leis/l9613compilado.htm
24     3 Penal econômico, tributário e empresarial            Lei nº 1.521/1951                                                                                             Crimes contra a economia popular        MP                        https://www.planalto.gov.br/ccivil_03/leis/l1521.htm
25     3 Penal econômico, tributário e empresarial           Lei nº 11.101/2005                                               Recuperação judicial e falência; crimes falimentares e respectivo procedimento        MP     https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/l11101.htm
26     3 Penal econômico, tributário e empresarial           Lei nº 12.846/2013                       Responsabilização administrativa e civil de pessoas jurídicas; acordo de leniência com reflexos penais         P     https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12846.htm
27     3 Penal econômico, tributário e empresarial           Lei nº 13.810/2019                      Indisponibilidade de ativos por resoluções do Conselho de Segurança da ONU; financiamento do terrorismo         P     https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/L13810.htm
28     3 Penal econômico, tributário e empresarial           Lei nº 14.478/2022                              Prestadoras de serviços de ativos virtuais; crime de fraude com criptoativos (art. 171-A do CP)         M     https://www.planalto.gov.br/ccivil_03/_ato2022-2026/2022/lei/L14478.htm
